ID,SEGMENT,ADDRESS,CAR_IN_BUFFER_ADDRESS,SYSTEM_IN_ADDRESS,SYSTEM_OUT_ADDRESS
MTL01,206,10391,10019,10020,18000
MTL02,270,19001,11393,10123,18001

